claim_id,family,population,source,contrast,metric,estimate,ci95_lower,ci95_upper,n,notes
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_dense_minus_global_dense,answer_correct,0.06594455066921606,0.038953880676646895,0.0961025641025641,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_dense_minus_global_dense,answer_quality,0.047618355640535376,0.03104415584415585,0.06646392601163251,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_dense_minus_global_dense,evidence_recall,0.10402099722298097,0.0832315950259246,0.1245884851508086,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_dense_minus_global_dense,feasible,0.07493307839388146,0.05547275002844465,0.09596528896045804,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_dense_minus_global_dense,over_refusal,-0.03813671128107075,-0.0589171876821509,-0.014836016696481812,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_dense_minus_global_dense,penalized_admissibility_upper_risk,-0.08474888331632655,-0.10684475523619832,-0.062196236513653864,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_dense_minus_global_dense,protected_disclosure,-0.007623888182973317,-0.026854219948849106,0.012953367875647668,787,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_dense_minus_global_dense,stale_disclosure,0.004,-0.013039117352056168,0.022115384615384617,1000,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_policy_gate_minus_namespace_dense,answer_correct,-0.0055,-0.01780264496439471,0.006429277942631058,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
C13,natural_end_to_end,"frozen 1,523-case natural sample: all 523 RHELM cases and an outcome-independent 1,000-case MemOps sample",gpt-5.6-luna,namespace_policy_gate_minus_namespace_dense,penalized_admissibility_upper_risk,-0.019200305740011622,-0.022969620190249163,-0.015570558942042526,1523,natural_same_population;reader_estimates_not_pooled;shared_claude_haiku_judge;nonofficial_sample;no_general_disclosure_gain;sequential_reader_replication
